====iter_20600: fit=1.2368, reg=1.0865, thom=5.1240, thomf=4.9776, acc=0.6953
====iter_20700: fit=1.1034, reg=1.0874, thom=5.1243, thomf=4.9777, acc=0.7031
====iter_20800: fit=1.1761, reg=1.0900, thom=5.1239, thomf=4.9774, acc=0.6953
====iter_20900: fit=1.2550, reg=1.0941, thom=5.1238, thomf=4.9775, acc=0.6484
====iter_21000: fit=1.5925, reg=1.0925, thom=5.1238, thomf=4.9769, acc=0.6328
====iter_21100: fit=1.4730, reg=1.0912, thom=5.1240, thomf=4.9774, acc=0.6172
====iter_21200: fit=1.3207, reg=1.0916, thom=5.1239, thomf=4.9767, acc=0.6641
====iter_21300: fit=1.7678, reg=1.0938, thom=5.1238, thomf=4.9771, acc=0.5000
====iter_21400: fit=1.4801, reg=1.0938, thom=5.1238, thomf=4.9773, acc=0.5781
====iter_21500: fit=1.4834, reg=1.0937, thom=5.1236, thomf=4.9770, acc=0.5781
====iter_21600: fit=1.4170, reg=1.0958, thom=5.1236, thomf=4.9770, acc=0.6250
====iter_21700: fit=1.9190, reg=1.0969, thom=5.1238, thomf=4.9780, acc=0.4844
====iter_21800: fit=1.7323, reg=1.0941, thom=5.1239, thomf=4.9772, acc=0.5781
====iter_21900: fit=1.4460, reg=1.0921, thom=5.1237, thomf=4.9763, acc=0.6094
====iter_22000: fit=1.4089, reg=1.0935, thom=5.1237, thomf=4.9769, acc=0.6172
====iter_22100: fit=1.6178, reg=1.0956, thom=5.1238, thomf=4.9777, acc=0.5859
====iter_22200: fit=1.4382, reg=1.0952, thom=5.1238, thomf=4.9773, acc=0.6250
====iter_22300: fit=1.5537, reg=1.0977, thom=5.1238, thomf=4.9773, acc=0.6250
====iter_22400: fit=1.4749, reg=1.1003, thom=5.1239, thomf=4.9770, acc=0.6016
====iter_22500: fit=1.4332, reg=1.1033, thom=5.1240, thomf=4.9772, acc=0.6562
====iter_22600: fit=1.7674, reg=1.1045, thom=5.1238, thomf=4.9780, acc=0.5703
====iter_22700: fit=1.3969, reg=1.1044, thom=5.1236, thomf=4.9774, acc=0.6484
====iter_22800: fit=1.6500, reg=1.1084, thom=5.1238, thomf=4.9771, acc=0.5547
====iter_22900: fit=1.3198, reg=1.1092, thom=5.1240, thomf=4.9766, acc=0.6562
====iter_23000: fit=1.3981, reg=1.1050, thom=5.1235, thomf=4.9769, acc=0.6172
====iter_23100: fit=1.3689, reg=1.1047, thom=5.1234, thomf=4.9768, acc=0.6406
====iter_23200: fit=1.6726, reg=1.1056, thom=5.1233, thomf=4.9771, acc=0.5703
====iter_23300: fit=1.5450, reg=1.1058, thom=5.1235, thomf=4.9770, acc=0.6016
====iter_23400: fit=1.5769, reg=1.1067, thom=5.1236, thomf=4.9776, acc=0.5703
====iter_23500: fit=1.2041, reg=1.1046, thom=5.1234, thomf=4.9764, acc=0.6641
====iter_23600: fit=1.6111, reg=1.1058, thom=5.1234, thomf=4.9773, acc=0.5625
====iter_23700: fit=1.7171, reg=1.1035, thom=5.1232, thomf=4.9771, acc=0.5234
====iter_23800: fit=1.3233, reg=1.1016, thom=5.1235, thomf=4.9771, acc=0.6016
====iter_23900: fit=1.5203, reg=1.1063, thom=5.1236, thomf=4.9768, acc=0.5703
